,latitude,longitude
931,1.36133,103.83855
932,1.34867,103.83864
933,1.27761,103.83865
934,1.33118,103.83892
935,1.42384,103.839
936,1.33341,103.8391
937,1.27207,103.8393
938,1.34797,103.83931
939,1.34936,103.83937
940,1.28027,103.8394
941,1.34194,103.83948
942,1.44098,103.83954
943,1.43168,103.8396
944,1.28791,103.83961
945,1.42431,103.8397
946,1.28815,103.8398
947,1.37727,103.8398
948,1.39045,103.8398
949,1.31143,103.83986
950,1.37771,103.8399
951,1.44126,103.83994
952,1.27227,103.83995
953,1.37449,103.84
954,1.379,103.84003
955,1.30462,103.84004
956,1.28003,103.84008
957,1.37695,103.84013
958,1.42893,103.84018
959,1.380457,103.8402
960,1.43851,103.84027
961,1.28742,103.8403
962,1.28898,103.84039
963,1.44119,103.84048
964,1.2875,103.84061
965,1.28738,103.84062
966,1.42343,103.8407
967,1.28779,103.84076
968,1.28723,103.84078
969,1.27613,103.84079
970,1.32818,103.84079
971,1.2922,103.8408
972,1.43303,103.84097
973,1.27824,103.8411
974,1.28858,103.84114
975,1.28796,103.8413
976,1.27331,103.8414
977,1.30477,103.8414
978,1.2833,103.84143
979,1.30044,103.84143
980,1.28806,103.84146
981,1.27912,103.84156
982,1.28904,103.84156
983,1.43727,103.8416
984,1.29335,103.84165
985,1.3016,103.84168
986,1.32482,103.8417
987,1.32972,103.8417
988,1.43374,103.8417
989,1.28678,103.84174
990,1.28473,103.84178
991,1.30225,103.84183
992,1.32457,103.84183
993,1.38735,103.84188
994,1.2799,103.84191
995,1.369089,103.842
996,1.3645,103.84204
997,1.29205,103.84214
998,1.28643,103.84217
999,1.29206,103.84218
1000,1.2835,103.84228
1001,1.29214,103.8423
1002,1.43884,103.84231
1003,1.2724,103.84237
1004,1.29374,103.84246
1005,1.29996,103.84254
1006,1.28969,103.84259
1007,1.30081,103.8427
1008,1.27403,103.84276
1009,1.32071,103.84276
1010,1.29964,103.84286
1011,1.29173,103.8429
1012,1.30033,103.8429
1013,1.31979,103.84295
1014,1.3389,103.843
1015,1.30951,103.84302
1016,1.32106,103.84311
1017,1.27448,103.84325
1018,1.28227,103.84327
1019,1.3889,103.84336
1020,1.27535,103.84344
1021,1.43345,103.84351
1022,1.2766,103.84353
1023,1.38398,103.84358
1024,1.27594,103.84361
1025,1.33444,103.84364
1026,1.33355,103.84392
1027,1.27649,103.84414
1028,1.29407,103.84418
1029,1.28128,103.8442
1030,1.28628,103.8442
1031,1.3664,103.84425
1032,1.28571,103.84442
1033,1.27349,103.84443
1034,1.33091,103.84443
1035,1.43093,103.84445
1036,1.31035,103.8445
1037,1.27598,103.84456
1038,1.38756,103.8446
1039,1.31033,103.84465
1040,1.32016,103.84468
1041,1.27275,103.84469
1042,1.32187,103.8447
1043,1.31033,103.84479
1044,1.35084,103.84479
1045,1.34077,103.8448
1046,1.38744,103.84481
1047,1.31032,103.84483
1048,1.31036,103.84486
1049,1.27795,103.84499
1050,1.32001,103.845
1051,1.27232,103.84509
1052,1.27414,103.84513
1053,1.27903,103.84519
1054,1.32647,103.84525
1055,1.31407,103.84527
1056,1.38601,103.8453
1057,1.29731,103.84531
1058,1.27399,103.8454
1059,1.28652,103.8455
1060,1.31448,103.84553
1061,1.32162,103.84555
1062,1.32177,103.84555
1063,1.34076,103.84558
1064,1.31312,103.84576
1065,1.31886,103.84576
1066,1.32198,103.8458
1067,1.32333,103.84586
1068,1.27292,103.8459
1069,1.28624,103.8459
1070,1.28741,103.84595
1071,1.34309,103.84597
1072,1.28756,103.84598
1073,1.28845,103.84599
1074,1.28877,103.84602
1075,1.27349,103.84606
1076,1.2835,103.84615
1077,1.28338,103.84626
1078,1.2871,103.84626
1079,1.27715,103.84631
1080,1.3088,103.84636
1081,1.27534,103.84642
1082,1.27368,103.84647
1083,1.27546,103.84649
1084,1.31842,103.8465
1085,1.28807,103.84653
1086,1.27554,103.84657
1087,1.30254,103.84658
1088,1.37087,103.8466
1089,1.38731,103.8466
1090,1.32124,103.84664
1091,1.27668,103.8467
1092,1.27634,103.84674
1093,1.28576,103.84676
1094,1.34097,103.84676
1095,1.42146,103.8468
1096,1.27613,103.84684
1097,1.27905,103.84687
1098,1.28471,103.84689
1099,1.27653,103.847
1100,1.27438,103.84702
1101,1.27612,103.84702
1102,1.31179,103.84702
1103,1.3119,103.84702
1104,1.28294,103.84703
1105,1.28509,103.84705
1106,1.32139,103.84706
1107,1.27638,103.84707
1108,1.34798,103.8471
1109,1.36886,103.84715
1110,1.38743,103.84722
1111,1.2865,103.84737
1112,1.311,103.8475
1113,1.27478,103.84751
1114,1.27514,103.84756
1115,1.31059,103.84756
1116,1.29745,103.84783
1117,1.28232,103.84786
1118,1.28998,103.84792
1119,1.28644,103.84803
1120,1.35266,103.84804
1121,1.28248,103.84806
1122,1.29435,103.84806
1123,1.384031,103.8482
1124,1.28182,103.84839
1125,1.28526,103.84839
1126,1.28459,103.84845
1127,1.29566,103.84855
1128,1.28024,103.84857
1129,1.2761,103.84866
1130,1.28204,103.84867
1131,1.3191,103.84873
1132,1.28608,103.84875
1133,1.28178,103.84877
1134,1.31742,103.84884
1135,1.2863,103.84886
1136,1.27659,103.84897
1137,1.27615,103.84898
1138,1.28602,103.849
1139,1.32029,103.849
1140,1.38223,103.849
1141,1.27562,103.84903
1142,1.27712,103.84908
1143,1.2845,103.84908
1144,1.36896,103.84909
1145,1.27719,103.84913
1146,1.28185,103.84915
1147,1.31528,103.8492
1148,1.384182,103.8492
1149,1.27722,103.84921
1150,1.36585,103.84926
1151,1.32026,103.84927
1152,1.35335,103.84928
